"ID	label	sector"
"317	BG	FoodProducts"
"318	BGCP	CapitalMarkets"
"319	BGFV	SpecialtyRetail"
"320	BGI	SpecialtyRetail"
"321	BGR	ETF"
"322	BGS	FoodProducts"
"323	BGT	ETF"
"324	BGY	ETF"
"325	BH	HotelsRestaurantsLeisure"
"326	BHB	Banks"
"327	BHC	Pharmaceuticals"
"328	BHE	ElectronicEquipmentInstrumentsC"
"329	BHK	ETF"
"330	BHLB	Banks"
"331	BHP	MetalsMining"
"332	BHV	ETF"
"333	BIDU	InteractiveMediaServices"
"334	BIIB	Biotechnology"
"335	BIMI	Machinery"
"336	BIO	LifeSciencesToolsServices"
"337	BIOL	HealthCareEquipmentSupplies"
"338	BIP	MultiUtilities"
"339	BJRI	HotelsRestaurantsLeisure"
"340	BK	CapitalMarkets"
"341	BKCC	CapitalMarkets"
"342	BKD	HealthCareProvidersServices"
"343	BKE	SpecialtyRetail"
"344	BKEP	EnergyEquipmentServices"
"345	BKH	MultiUtilities"
"346	BKN	ETF"
"347	BKNG	InternetDirectMarketingRetail"
"348	BKR	EnergyEquipmentServices"
"349	BKSC	Banks"
"350	BKT	ETF"
"351	BKTI	CommunicationsEquipment"
"352	BKYI	Software"
"353	BLDP	ElectricalEquipment"
"354	BLDR	BuildingProducts"
"355	BLE	ETF"
"356	BLFS	HealthCareEquipmentSupplies"
"357	BLIN	Software"
"358	BLK	CapitalMarkets"
"359	BLKB	Software"
"360	BLNK	SpecialtyRetail"
"361	BLU	Biotechnology"
"362	BLW	ETF"
"363	BLX	DiversifiedFinancialServices"
"364	BMA	Banks"
"365	BME	ETF"
"366	BMI	ElectronicEquipmentInstrumentsC"
"367	BMO	Banks"
"368	BMRA	HealthCareEquipmentSupplies"
"369	BMRC	Banks"
"370	BMRN	Biotechnology"
"371	BMY	Pharmaceuticals"
"372	BNS	Banks"
"373	BNSO	ElectronicEquipmentInstrumentsC"
"374	BNY	Banks"
"375	BOE	ETF"
"376	BOH	Banks"
"377	BOKF	Banks"
"378	BOOM	EnergyEquipmentServices"
"379	BOSC	CommunicationsEquipment"
"380	BOTJ	Banks"
"381	BP	OilGasConsumableFuels"
"382	BPOP	Banks"
"383	BPOPM	ETF"
"384	BPT	OilGasConsumableFuels"
"385	BPTH	Biotechnology"
"386	BR	ITServices"
"387	BRC	CommercialServicesSupplies"
"388	BRCN	FoodProducts"
"389	BRFS	FoodProducts"
"390	BRID	FoodProducts"
"391	BRKL	Banks"
"392	BRKR	LifeSciencesToolsServices"
"393	BRN	OilGasConsumableFuels"
"394	BRO	Insurance"
"395	BRT	EquityRealEstateInvestmentTrusts"
"396	BRW	ETF"
"397	BSAC	Banks"
"398	BSBR	Banks"
"399	BSET	HouseholdDurables"
"400	BSQR	Software"
"401	BSRR	Banks"
"402	BSX	HealthCareEquipmentSupplies"
"403	BTA	ETF"
"404	BTG	MetalsMining"
"405	BTI	Tobacco"
"406	BTN	Entertainment"
"407	BTO	MetalsMining"
"408	BTX	Biotechnology"
"409	BTZ	ETF"
"410	BUD	Beverages"
"411	BUSE	Banks"
"412	BVH	HotelsRestaurantsLeisure"
"413	BVN	MetalsMining"
"414	BWA	AutoComponents"
"415	BWEN	ElectricalEquipment"
"416	BX	CapitalMarkets"
"417	BXC	TradingCompaniesDistributors"
"418	BXMT	MortgageRealEstateInvestmentTrust"
"419	BXMX	ETF"
"420	BXP	EquityRealEstateInvestmentTrusts"
"421	BYD	HotelsRestaurantsLeisure"
"422	BYFC	ThriftsMortgageFinance"
"423	BYM	ETF"
"424	BYRN	AerospaceDefense"
"425	BZH	HouseholdDurables"
"426	C	Banks"
"427	CAAS	AutoComponents"
"428	CAC	Banks"
"429	CACC	ConsumerFinance"
"430	CACI	ITServices"
"431	CADE	Banks"
"432	CAE	AerospaceDefense"
"433	CAF	ETF"
"434	CAG	FoodProducts"
"435	CAH	HealthCareProvidersServices"
"436	CAJ	TechnologyHardwareStoragePeriph"
"437	CAKE	HotelsRestaurantsLeisure"
"438	CAL	SpecialtyRetail"
"439	CALM	FoodProducts"
"440	CAMP	CommunicationsEquipment"
"441	CAMT	SemiconductorsSemiconductorEquipment"
"442	CAPR	Biotechnology"
"443	CAR	RoadRail"
"444	CARE	Banks"
"445	CARV	ThriftsMortgageFinance"
"446	CASI	Biotechnology"
"447	CASS	ITServices"
"448	CASY	FoodStaplesRetailing"
"449	CAT	Machinery"
"450	CATC	Banks"
"451	CATO	SpecialtyRetail"
"452	CATY	Banks"
"453	CB	Insurance"
"454	CBAN	Banks"
"455	CBAT	ElectricalEquipment"
"456	CBD	FoodStaplesRetailing"
"457	CBFV	Banks"
"458	CBIO	Biotechnology"
"459	CBRE	RealEstateManagementDevelopment"
"460	CBRL	HotelsRestaurantsLeisure"
"461	CBSH	Banks"
"462	CBT	Chemicals"
"463	CBU	Banks"
"464	CBZ	ProfessionalServices"
"465	CCBG	Banks"
"466	CCEL	HealthCareProvidersServices"
"467	CCEP	Beverages"
"468	CCF	Chemicals"
"469	CCI	EquityRealEstateInvestmentTrusts"
"470	CCJ	OilGasConsumableFuels"
"471	CCK	ContainersPackaging"
"472	CCL	HotelsRestaurantsLeisure"
"473	CCM	HealthCareProvidersServices"
"474	CCNE	Banks"
"475	CCO	Media"
"476	CCOI	DiversifiedTelecommunicationServices"
"477	CCRN	HealthCareProvidersServices"
"478	CCU	Beverages"
"479	CDE	MetalsMining"
"480	CDMO	Biotechnology"
"481	CDNS	Software"
"482	CDR	Software"
"483	CDXC	LifeSciencesToolsServices"
"484	CDZI	WaterUtilities"
"485	CE	Chemicals"
"486	CEA	Airlines"
"487	CECE	CommercialServicesSupplies"
"488	CEE	MetalsMining"
"489	CEI	OilGasConsumableFuels"
"490	CELH	Beverages"
"491	CEMI	HealthCareEquipmentSupplies"
"492	CENT	HouseholdProducts"
"493	CENTA	HouseholdProducts"
"494	CENX	MetalsMining"
"495	CEQP	OilGasConsumableFuels"
"496	CERS	HealthCareEquipmentSupplies"
"497	CET	AssetManagement"
"498	CEV	ETF"
"499	CEVA	SemiconductorsSemiconductorEquipment"
"500	CF	Chemicals"
"501	CFBK	ThriftsMortgageFinance"
"502	CFFI	Banks"
"503	CFFN	ThriftsMortgageFinance"
"504	CFR	Banks"
"505	CGA	Chemicals"
"506	CGAU	Gold"
"507	CGEN	LifeSciencesToolsServices"
